City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Albany,100,US,1608099768,35,42.6,-73.97,-6.67,1.81
Port Hardy,90,CA,1608099768,87,50.7,-127.42,7.0,4.6
Mount Gambier,90,AU,1608099769,87,-37.83,140.77,16.0,3.6
Krasnosel'kup,100,RU,1608099769,87,65.7,82.47,-23.2,8.99
Kaitangata,99,NZ,1608099769,89,-46.28,169.85,14.44,1.79
Punta Arenas,77,CL,1608099769,66,-53.15,-70.92,9.0,20.1
Chokurdakh,100,RU,1608099769,89,70.63,147.92,-28.34,1.62
Severo-Kuril'sk,72,RU,1608099770,89,50.68,156.12,-0.96,4.24
Kati,0,ML,1608099770,72,12.74,-8.07,18.0,1.0
Leningradskiy,100,RU,1608099770,94,69.38,178.42,-9.37,9.79
Santa Cruz de la Sierra,40,BO,1608099618,94,-17.8,-63.17,23.0,3.6
Jamestown,20,US,1608099770,85,42.1,-79.24,-5.0,2.6
Vero Beach,90,US,1608099770,93,27.64,-80.4,19.0,3.6
Olafsvik,92,IS,1608099771,82,64.89,-23.71,3.36,12.88
Shahdol,17,IN,1608099771,49,23.28,81.35,25.12,1.85
Bara,75,NG,1608099771,26,10.37,10.73,20.08,3.14
Lianzhou,100,CN,1608099771,69,24.78,112.38,4.98,1.85
São Borja,35,BR,1608099772,61,-28.66,-56.0,22.0,2.11
San Benito,1,US,1608099772,86,36.62,-121.08,7.0,1.27
Lüderitz,0,NA,1608099772,77,-26.65,15.16,16.0,4.1
Ruwi,20,OM,1608099772,53,23.6,58.55,23.0,1.0
Hobart,75,AU,1608099517,50,-42.88,147.33,16.11,4.6
Castro,0,BR,1608099507,92,-24.79,-50.01,15.8,0.41
Concepción,0,CL,1608099663,81,-36.83,-73.05,11.0,3.6
Qaanaaq,0,GL,1608099773,72,77.48,-69.36,-15.2,3.28
Rikitea,55,PF,1608099773,70,-23.12,-134.97,25.58,1.81
Ahero,75,KE,1608099773,60,-0.17,34.92,21.0,2.6
Norrtälje,90,SE,1608099774,100,59.76,18.7,6.67,4.1
Touros,40,BR,1608099774,83,-5.2,-35.46,25.0,1.0
Ushuaia,75,AR,1608099628,81,-54.8,-68.3,6.0,16.5
Faya,0,SA,1608099774,76,18.39,42.45,13.0,1.04
General Pico,0,AR,1608099775,36,-35.66,-63.76,12.51,0.79
San Cristobal,100,VE,1608099775,90,7.77,-72.22,17.66,0.5
Atuona,15,PF,1608099775,78,-9.8,-139.03,26.02,8.76
Tamiahua,11,MX,1608099775,88,21.27,-97.45,19.51,4.97
Iquitos,0,PE,1608099776,94,-3.75,-73.25,23.0,0.41
Bluff,100,NZ,1608099716,95,-46.6,168.33,13.89,5.36
Simao,50,CN,1608099776,56,22.79,100.97,23.18,1.99
Kapaa,40,US,1608099776,78,22.08,-159.32,26.0,5.7
Bodītī,0,ET,1608099776,37,6.97,37.87,17.94,3.33
Puquio,100,PE,1608099777,67,-14.7,-74.13,11.14,0.89
Antofagasta,90,CL,1608099605,72,-23.65,-70.4,19.0,2.1
George Town,40,MY,1608099777,70,5.41,100.34,31.0,2.1
Mossamedes,27,AO,1608099777,80,-15.2,12.15,19.33,1.08
Bambous Virieux,75,MU,1608099777,74,-20.34,57.76,29.0,6.2
Sémbé,12,CG,1608099777,85,1.65,14.58,22.88,0.81
Bonavista,100,CA,1608099777,92,48.65,-53.11,-5.0,8.7
Chui,76,UY,1608099778,78,-33.7,-53.46,18.11,5.15
Tres Arroyos,0,AR,1608099778,41,-38.37,-60.28,12.69,7.49
Cidreira,25,BR,1608099778,91,-30.18,-50.21,22.07,5.21
Sept-Îles,71,CA,1608099778,61,50.2,-66.38,-11.0,9.3
Mahébourg,75,MU,1608099778,74,-20.41,57.7,29.0,6.2
Yangambi,84,CD,1608099778,76,0.81,24.43,25.15,0.95
Esperance,90,AU,1608099516,46,-33.87,121.9,21.0,6.2
Craigieburn,75,AU,1608099779,64,-37.6,144.95,22.0,6.7
Igarka,100,RU,1608099779,89,67.47,86.58,-21.1,6.65
Okhotsk,38,RU,1608099779,86,59.38,143.3,-17.35,7.81
Haines Junction,100,CA,1608099779,84,60.75,-137.51,-13.0,0.5
Hermanus,0,ZA,1608099779,72,-34.42,19.23,18.89,1.79
Praia,20,CV,1608099779,73,14.92,-23.51,22.0,5.7
Airai,57,TL,1608099780,96,-8.93,125.41,21.13,1.28
Bathsheba,20,BB,1608099780,88,13.22,-59.52,24.0,2.1
Port Alfred,10,ZA,1608099780,76,-33.59,26.89,21.67,2.24
Lebu,0,CL,1608099780,84,-37.62,-73.65,10.3,7.53
Faanui,44,PF,1608099781,74,-16.48,-151.75,26.92,9.22
Saint-Lô,0,FR,1608099781,93,49.12,-1.09,8.0,7.2
Kiryat Gat,87,IL,1608099632,100,31.61,34.76,14.44,7.59
